job_title,company_name,url,description
Senior Project Engineer with verification,Probiotec Limited,https://www.linkedin.com/jobs/view/3992820974,"About the jobRole Overview:We are seeking a highly skilled and experienced Senior Project Engineer to assist us and play a key part in setting up a new production facility, ensuring all systems and processes are efficiently established. This senior role, requiring 5-10 years of experience, is focused on equipment transfer and validation. Ongoing employment offered after completion of the project.Key Responsibilities:Equipment Transfer & Validation:Lead the equipment decommissioning, installation and validation processes, supported by consultants and senior management.Establish preventative maintenance policies within our new CMMS.Oversee facility managers at current sites to ensure proper CMMS setup.Provide general support for site fit-out activities.Facility Setup and Commissioning:Coordinate and manage the installation of new equipment and systems.Collaborate with contractors, vendors, and cross-functional teams to ensure seamless integration of new systems.Ensure all installations comply with safety and regulatory standards.Budget and Resource Management:Manage project budgets and ensure cost-effective solutions.Monitor and report on project progress, adjusting plans as necessary to stay on track.Quality Assurance and Compliance:Ensure all equipment and processes meet quality assurance standards.Maintain compliance with industry regulations and standards, including TGA requirements.Conduct risk assessments and implement mitigation strategies.Develop/revise standard operating procedures (SOPs) for new/existing equipment and processes.Essential Qualifications:Validation Experience:Understanding of validation processes and TGA compliance is mandatory.Familiarity with commissioning new sites is a plus.CMMS Systems Experience:Proficiency with CMMS systems is required, preferably MEX.If you are a motivated and experienced Project Engineer with a strong background in the Pharma and FMCG industries, we encourage you to apply for this exciting opportunity."
Performance Test Engineer - Application Architecture with verification,Tata Consultancy Services,https://www.linkedin.com/jobs/view/3983077899,"About the jobAbout TCS:Join Tata Consultancy Services, Asia Pacific and be part of an organization committed to sustainable development for our future. TCS follows the Tata group philosophy of building sustainable businesses that are rooted in the community and demonstrate care for the environment. Our unique values position us to combine a purpose-driven worldview with digital innovation, collaborating with customers, communities and governments to lead and shape innovative solutions for a sustainable future. TCS has been carbon neutral in its operations across 11 countries, 12 delivery centres and 18 offices in Asia Pacific since 2022. This is only the initial stage in TCS’ journey as we strive to achieve long-term net zero emissions by 2030.Corporate sustainability is embedded in our triple-bottom-line, focusing on people, the planet, and our purpose. Our offices are designed with eco-friendly features that significantly reduce our carbon footprint and enhance energy efficiency. We actively champion green initiatives, such as promoting paperless operations, implementing energy-efficient practices, and fostering employee engagement in sustainability efforts. When you become part of the TCS family, you will play an essential role dedicated to innovation, excellence, and crafting a brighter, greener future together. Join us and be a part of our mission to drive sustainability through technology and talent at Tata Consultancy Services, APAC today.Role : Performance Test EngineerExperience : 10+ YearsLocation : SydneyMandate Skill : Load Runner, Application Architecture Design Knowledge, NFR Modelling, environment and performance monitoring.Essential Criteria :Should have 10+ years of experience in performance Engineering and tuning web-based enterprise applications.Strong experience of Performance Engineering/Testing and tuning Guidewire and web-based enterprise applications.Good understanding of application architecture, NFR modelling, environment, and Performance monitoring.Strong hands-on experience with performance APM tools (such as AppDynamics, Dynatrace, Splunk).Providing recommendations to system capacity/ performance using quantitative methods, statistical and historical performance data, defining and managing system tuning and workload balance.Experience in Guidewire and Salesforce application testingStrong Experience in Agile methodologies.Ability to analyse the performance issues starting from browser level to server level using available monitoring tools.Proficiency in analysing test results of tool output, resource utilization, application logs and DB logs to isolate performance bottlenecksApply testing methodologies, principles, and processes to define and implement key metrics to manage and assess the testing process including test execution and defect resolutionEngage with Architects/ DBA for optimization for Bottlenecks/issuesCollaborated with various teams including business, developers, architects for smooth release deliveryGood communication and technical documentation skillsGood To Have :Good to have Insurance domain knowledge.Good to have knowledge of Guidewire applicationThank you for your interest in applying for this position with TCS. All applicants who meet the requirements will be considered equally and fairly for employment. We will review your application and will get back to you if we are considering your interest in this opportunity"
Field Service Engineer (Medical),Talent Focus Recruitment,https://www.linkedin.com/jobs/view/3980906876,"About the jobTalent Focus are seeking eager and experienced Field Service Engineers to work for a global leader within the medical device space. Put forward a proactive and engaged spirit to further assist those who need it most and make lifelong differences in peoples lives.The Role:Timely and effective response to service requests to customer equipment breakdowns ensuring to return equipment to full operational status.Preventative maintenance as per manufacturers testing alongside a part replacement schedule ensuring optimum performance.Installations of new equipment and devices.Performance of corrective maintenance removing product defects .Providing customer support to the region ensuring concerns are addressed in a swift manner.Communicate potential sales opportunities/leads to sales representatives.Provide technical support and advice to sales and marketing teams.identify and report quality issues from the field to management and internal departments.The Requirements:Qualifications either within Biomedical Engineering or Electronics field.Electrical licenses or device repair experience.Field service experience with Biomedical Devices.Ability to organise and prioritise work efficiently.The Benefits:A competitive salary package.Annual bonus.Company car OR Car AllowanceOpportunities to progress in your careerBenefits and Discounts with partnersSalary Sacrificing options.Should you experience any difficulty with applying please email us at Christian.juric@talentfocus.com.au or alternatively visit our website www.talentfocus.com.auTalent Focus is committed to EEO, WHS, Ethical Practices and the principles of cultural diversity in the workplace."
Quality Control Engineer,MicroTau,https://www.linkedin.com/jobs/view/3060735839,"About the jobTo apply please visit https://www.microtau.com.au/careers/quality-control-engineerApplications close August 5thThe MissionYour mission is to develop and perform Quality Control tests and procedures for MicroTau microstructured film products. You will be reporting to the Head of Engineering, ensuring MicroTau products have undergone appropriate testing and analysis.OutcomesYou will identify and prioritise key areas for which Quality Control tests and procedures should be developed based on results from product and process verification and validation testing, field testing and customer feedback information, manufacturing non-conformity data and process statisticsYou will develop experimental procedures, tests and documentation templates to ensure MicroTau outgoing product meets highlighted requirementsYou will execute test procedures, and where appropriate support the training of other team members to perform test proceduresYou will generate Quality Control reports showing trends in test results, and communicate these to the wider organisation as input for product design and manufacturing process improvementsYou will be able to adjust work packages based on updated needs, timelines and budgetary constraints and clearly communicate the impact of updates to the teamYou will participate in the problem solving process of non-conformities arising in the organisation where appropriateKnowledge & SkillsDegree in relevant discipline e.g. Science or EngineeringExperience developing test methods suitable to provide appropriate confidence of the quality of scale manufactured commercial product for use in a regulated environment, taking into account relevant acceptable quality limits, measurement system uncertainty and measurement system accuracyExperience in writing experimental reports, in particular ensuring elements such as sample size calculations and justifications, measurement system error, repeatability and reproducibility, and manufacturing and part variation are taken into account.Experience using technical lab equipment - primarily dimensional metrology techniques such as profilometry and scanning electron microscopy, as well as cosmetic defect inspection tools, durability testing equipment and material composition analysis equipment e.g. FTIRExperience writing SOPs for equipment use, including maintenance and calibration procedures and troubleshooting equipment issuesExperience working in advanced hardware technology manufacturing in scaling and/or startup environmentsKey ResponsibilitiesIdentifying areas for which Quality Control tests are required by prioritising information from sources such as Process Capability Index (CpK) of manufacturing process criteria, failure mode Pareto analysis, Quality Management System requirements and product verification and validation test resultsDeveloping test and experimental procedures that take into account:Acceptance criteria such as sample size, required minimum effect size, repeatability, and quality management system requirementsDeveloping documentation templates for Quality Control procedures that align with existing Quality Management Systems and capture relevant traceability data including part, serial, batch information of devices under testExecute test procedures and complete relevant documentation according to project and manufacturing needs, generating summary reports where required and creating follow-on non-conformance documentation where appropriateAbility to plan, monitor, and communicate work packages and progress, and escalate any changes identified that modify the timing of key milestones of a projectLiaising with suppliers of both product materials and testing equipment to troubleshoot, outsource or compare Quality Control test data and inspection tests and conditionsNavigate and make evidence guided decisions in complex, ambiguous and dynamic situations effectivelyAbout MicroTauMicroTau prints nature’s surfaces to solve human problems. Taking inspiration from the animal world’s most creative (and deadly) engineers, we are making the materials that will make our world a faster, cleaner, and greener place.Our ambition is to put ‘shark skin’ film on planes, savingUS$8 billionin fuel and40 million tonnes of CO2emissionsevery year. To get us there, we’re working with the largest aviation manufacturers and operators in the world. Our product can help aircraft fly further and faster, carry greater payloads, and perform tighter, faster manoeuvres. We’ve invented and built the manufacturing technology to do this, but we’re not done yet.In 2022 we closed a seed funding round and we’re proud to have the backing of some of Australia’s largest investors. We’ve recently been awarded some large grants and contracts, so we are rapidly expanding our team to accelerate the development and roll-out of this hugely impactful technology.During the next 24 months, we’ll be deploying riblet film to new aircraft for flight tests, building out new facilities, transforming our production line, and forming more new partnerships than ever before. For our employees, this means exciting growth opportunities and the ability to work alongside some of Australia’s brightest minds to solve one of the world’s hardest problems. Every employee can make an impact on the technology and applications we pursue.To apply please visit https://www.microtau.com.au/careers/quality-control-engineer"
Senior Node Engineer,Thyme Tech,https://www.linkedin.com/jobs/view/3982875041,"About the jobSenior Node Engineer, Fully Remote, Sydney, AustraliaAbout the companyJoin our team, where we’ve been empowering over a million customers to manage and move their money efficiently for the past 18 years. Our award-winning products offer low-cost multi-currency payments, travel money, transfers, currency hedging, and expense management.With offices in London, Chester, Los Angeles, and across Europe, it operates through three divisions. You'll be part of a close-knit, diverse, and supportive team that values different perspectives to better serve our customers.About the roleOur technology team works in small, cross functional squads - forming part of a fun, hardworking and exceptionally supportive team of around 65 engineersWe are looking to hire a Senior Platform Engineer to help us bring a ground-breaking new product to market and support and develop our highly successful productOur interview process typically consists of an initial phone screen, and a 60 minute interview. We usually do a very simple coding task, but there are no trick questions.ResponsibilitiesBuild and maintain NodeJS/ExpressJS applicationsEnsure code quality by writing automated tests, is well tested and written in a maintainable wayDeploying code to production on a regular basisWork with product owners, engineers & other stakeholders to prioritise workstreamsMonitoring the health of the services we buildDriving the development, definition and implementation of our productsImplement features and own the delivery up to the point of it being in our customers handsOwn the maintenance of features to ensure that future bugs are fixed speedilySkills/Qualifications RequiredNode.jsES6Lambda / ServerlessAWSGithubAgile best practices.Software engineering practices like BDD, TDD, Pair Programming etc.Benefits150,000–160,000 AUD Annual SalaryA competitive salary benchmarked against a peer group which will be reviewed annuallyOur Employee Assistance Programme offers a 24/7 confidential advice line for health, bereavement and other areas of supportInterbank currency rates on travel money and international transfersOpportunities for progression, development and learning new skills"
Senior Hydrologist/Surface Water Engineer with verification,LVI Associates,https://www.linkedin.com/jobs/view/3982739341,"About the jobSenior Hydrologist (Mining & Renewables) - Sydney, AustraliaCompany Overview:Join a leading consultancy at the forefront of innovative solutions in the Mining and Renewables sectors. Our firm is dedicated to delivering high-impact environmental and engineering solutions that drive sustainable development and operational excellence. We pride ourselves on fostering a collaborative and dynamic work environment in Sydney, where creativity and expertise come together to shape the future.Position Overview:We are seeking a highly skilled and experienced Senior Hydrologist/Surface Water Engineer to join our team. The ideal candidate will bring a deep understanding of hydrology and surface water management, with specific expertise in TUFLOW and HEC-RAS. This role will involve leading projects, providing technical guidance, and delivering solutions that address complex water management challenges in both the mining and renewable energy sectors.Key Responsibilities:- Lead and manage hydrological and surface water engineering projects from concept through to completion.- Utilize TUFLOW and HEC-RAS to perform detailed hydrological and hydraulic modeling, analysis, and reporting.- Develop and implement water management strategies to support sustainable practices in mining and renewable energy projects.- Collaborate with multidisciplinary teams to integrate water management solutions into larger project frameworks.- Prepare and review technical reports, design documents, and compliance documentation.- Provide mentorship and technical support to junior staff and peers.- Engage with clients, stakeholders, and regulatory bodies to ensure project objectives are met and regulatory requirements are satisfied.Qualifications:- Bachelor's degree in Hydrology, Civil Engineering, Environmental Engineering, or a related field. A Master's degree is preferred.- Proven experience in hydrology and surface water engineering, with a focus on mining and renewable energy projects.- Expertise in TUFLOW and HEC-RAS for hydrological and hydraulic modeling.- Strong understanding of relevant environmental regulations and compliance standards.- Excellent analytical, problem-solving, and project management skills.- Ability to work effectively in a collaborative team environment and communicate complex technical concepts to non-technical stakeholders.- Strong written and verbal communication skills.How to Apply:If you are passionate about advancing your career in hydrology and surface water engineering within a thriving consultancy, we would love to hear from you."
Product Engineer with verification,"Jinko Solar Co., Ltd.",https://www.linkedin.com/jobs/view/3981871211,"About the jobPRIMARY DUTIES AND RESPONSIBILITIES:Engage with local 3rd party engineering teams (hardware and software) and facilitate integration of new product featuresSupport the technical side of product development, providing guidance to the HQ R&D department.Participate in onsite prototype testing and guide local service engineers.Work closely with internal stakeholders: Product Management, R&D and Service teams on product design and the product roadmap.Act as a subject matter expert on energy storage technology and industry trends, providing insights and guidance to customers and internal teams as needed.Provide ongoing technical product support to customers throughout the sales and project implementation stages.REQUIRED SKILLSETA bachelor’s or master’s degree in electrical engineering or mechatronicsProgramming experience is a plus (Matlab, C, Python)Strong technical understanding of the engineering first principlesExperience with Batteries, Inverters, PLC is a plusConfident communication skills, with the ability to present technical concepts to both technical and non-technical audiences.Willingness to occasionally travel locally and interstate to support product prototypingAustralian unrestricted full working rights.Proficiency in English & Chinese."
Project Engineer,McCawley Construction,https://www.linkedin.com/jobs/view/3864768073,"About the jobMcCawley Construction is an established construction company specialising in formwork, reinforcement, and concrete works. Located in Sydney's west, we are seeking an enthusiastic Project Engineer with solid experience in Formwork, Reinforcement and Concrete within the infrastructure space to join our growing team. You'll have a fulfilling & rewarding career working with us, and you'll contribute to a sustainable future we can all be proud of.What's on offer?We're looking for a Project Engineer to join our growing Sydney team working on Infrastructure projects.Must have sound knowledge of formwork e.g buildings (infrastructure and not buildings).As a Project Engineer, you will have full oversight for ensuring safety, cost, quality, and time targets are met, managing clients, and reporting to senior management on the performance of your scope of work. You will liaise with the principal contractor’s senior management to provide the most efficient solution, considering the interest of key stakeholders and the delivery team. Furthermore, you will be reporting to the senior supervisor on site.What's in it for you when you work for McCawley Construction?We'll offer a competitive salary package of$120,000 - $150,000 (subject to experience)Company VehicleCompany PhoneWhat else?You'll be given the opportunity for career growth & developmentWe support flexible work arrangements where applicableYou'll be a part of a fun and inclusive team environmentRequirements:Must have working rights in Australia.Ideally 2 years or more experience with formwork, concrete and reinforcement on Australian projects.Valid car licenceWorked on infrastructure projects i.e. bridges, water projects, and tunnels in Australia.How you'll connect to the role?You have a Bachelor's in civil engineering/construction management with ideally 5 years of experience in project delivery across mid to large-scale civil projects, ideally Formwork, Reinforcement and Concrete.Experience working on previous TfNSW bridges is highly desirable. Your strong leadership and communication skills, as well as the ability to both prioritise and problem-solve, while managing stakeholder interests, will set you up for success in this role.Sound like you?If this sounds like you would like to help build on our Good Work culture, then we would like to hear from you. If you meet a number of the requirements, but not all, we encourage you to submit your application.Please submit your application to sean@mccawleyconstruction.com.au or dusty@mccawleyconstruction.com.au"
Senior & Mid-Level Remedial Engineer / Forensic Engineer / Facade Engineer,Total Building Engineering Solutions,https://www.linkedin.com/jobs/view/3841438658,"About the jobAre you passionate about engineering and building solutions? Are you looking to make a significant impact while progressing in your career? TBE Solutions, a leading Sydney-based consultancy, is on the hunt for a dedicated, experienced professional like you to join our expanding team.💼 About TBE SolutionsBased in vibrant Sydney, TBE Solutions specialises in providing remedial building and engineering solutions for both residential and commercial buildings. With a project management portfolio that stretches from Newcastle to Wollongong, our expertise has transformed hundreds of properties into success stories. Our goal? To guide, educate, and serve our clients' best interests by offering the most effective solutions for their building concerns. And we're just getting started!As we look towards an exciting phase of growth, we want YOU to be a part of our journey.🚀 The RoleWe're offering a full-time, permanent position for a Remedial Building Engineer. This isn't just a job - it's an opportunity to grow with us, to carve out your space in our success story, and perhaps even to become a future team leader.🔧 Your ResponsibilitiesAs a Remedial Building Engineer, you'll help breathe new life into both old and new buildings plagued by a host of issues, from cracking, concrete spalling, and waterproofing issues to design defects and total dilapidation.You will:Conduct site inspections, identify, photograph, and document building defects and related on-site issues;Compile detailed building defect, condition, and technical reports;Provide recommendations for general building repairs and prepare scope of works documentation for tenders;Manage tenders, contracts, and projects.🌟 Is This You?If you can answer 'yes' to the following, we'd love to hear from you:You have a background in Civil/Structural Engineering;You have at least 5+ years of experience in a similar consulting firm;You're knowledgeable about the remedial building industry;You have experience in preparing building reports;You can analyse building defects and construction issues effectively;You're familiar with relevant building codes and Australian Standards;You have excellent written and verbal communication skills;You can multitask, work independently, and manage work sites.🎁 What’s in it for You?Joining TBE Solutions means more than just a new job:Competitive salary package;Concrete opportunities for growth, development, and career progression;A young, fun, and flexible team culture that celebrates diversity and fosters collaboration;Convenient location just 15 minutes from Sydney CBD;Daily access to The Grounds of Alexandria, just a 3-minute walk away!So, if you're ready to take your career to the next level with a team that's as invested in your success as you are, apply now and let's build a brighter future together with TBE Solutions!"
Senior User Interface Engineer,Mathspace,https://www.linkedin.com/jobs/view/3694107775,"About the jobMathspace is on a mission to change maths education, by helping students and teachers with smarter, interactive learning software. We’re an agile-run, product-orientated company that focuses on delivering value through continual customer feedback, enabling students and teachers to have a delightful experience through learning mathematics.ResponsibilitiesAs a UI engineer working on a cross-functional product team, you will:Enrich the Mathspace web and mobile apps that help teach hundreds of thousands of students every month across the worldWork closely with product owners and designers in their product discovery effortsCollaborate with fellow engineers to deliver meaningful value to students and teachersTackle difficult problems, solve them creatively, and learn continuouslyPlay an active role, taking the initiative to get things doneLearn, develop and extend our tech stackQualificationsStrong software engineering abilityEffective communication skillsKnowledge of either JavaScript or PythonKnowledge of either React, GraphQL or Django frameworksEnthusiastic about quality, design and user experienceDedicated to learning and sharing new ideasIndustry experience in web products"
